PRIMARY_KEY,STATE,Region,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_REVENUE_PS,FEDERAL_REVENUE,FEDERAL_REVENUE_PS,STATE_REVENUE,STATE_REVENUE_PS,LOCAL_REVENUE,LOCAL_REVENUE_PS,TOTAL_EXPENDITURE,TOTAL_EXPENDITURE_PS,INSTRUCTION_EXPENDITURE,INSTRUCTION_EXPENDITURE_PS,SUPPORT_SERVICES_EXPENDITURE,SUPPORT_SERVICES_EXP_PS,OTHER_EXPENDITURE,OTHER_EXPENDITURE_PS,CAPITAL_OUTLAY_EXPENDITURE,CAPITAL_OUTLAY_EXP_PS,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1993_ALABAMA,ALABAMA,South,1993,727716,2827391,4.172100813,331409,0.489027431,1729295,2.551749325,766687,1.131324057,2833433,4.181016394,1564558,2.308663253,794146,1.171842583,237222,0.350045006,204207,0.301328041,8264,56598,57497,60004,39900,470775,198651,677690,208.3278759,252.1875224,207.9635172,260.2764414
1994_ALABAMA,ALABAMA,South,1994,730004,2970223,4.375645249,331823,0.488831894,1850894,2.726682655,787506,1.1601307,3103266,4.571640287,1697593,2.500844127,826442,1.217490071,306977,0.452229496,231508,0.341050783,9051,57723,56773,59165,41730,468472,201285,678808,208.3278759,252.1875224,207.9635172,260.2764414
1995_ALABAMA,ALABAMA,South,1995,727480,3367437,4.905868213,328957,0.479242727,2161366,3.148797366,877114,1.27782812,3353363,4.885364432,1851700,2.697658834,888983,1.295119535,326956,0.476327559,243365,0.354547574,9324,59739,56486,59914,40981,470246,206840,686410,208.3278759,252.1875224,207.9635172,260.2764414
1996_ALABAMA,ALABAMA,South,1996,735912,3365113,4.89839341,334858,0.487432731,2138717,3.113202219,891538,1.29775846,3572283,5.199958369,1987018,2.892383072,935115,1.361190888,322883,0.470001441,286699,0.41733056,9633,60949,57098,58305,42510,469370,207980,686983,211.6469735,256.5948632,210.9207675,260.2764414
1997_ALABAMA,ALABAMA,South,1997,737386,3981788,5.763348536,376200,0.544522139,2498847,3.616899292,1106741,1.601927105,3963624,5.737057467,2095904,3.033668606,1075352,1.55649381,323955,0.468901301,420070,0.608020773,9886,58326,57431,58210,44272,472847,208148,690881,211.6469735,256.5948632,210.9207675,260.2764414
1998_ALABAMA,ALABAMA,South,1998,739321,4140537,6.00143059,374153,0.542309671,2589819,3.753768888,1176565,1.705352031,4245033,6.152890532,2218693,3.21584665,1155492,1.674808131,357731,0.518507084,458351,0.664349023,10341,58055,58610,57105,43957,473954,205630,689925,211.6469735,256.5948632,210.9207675,260.2764414
1999_ALABAMA,ALABAMA,South,1999,737639,4471546,6.531503976,393095,0.574186547,2752653,4.020748979,1325798,1.93656845,4622810,6.752452484,2399626,3.505089014,1208081,1.764621421,441314,0.644619142,515798,0.753416534,10548,56120,60012,56201,42576,472019,202045,684612,211.6469735,256.5948632,210.9207675,260.2764414
2000_ALABAMA,ALABAMA,South,2000,730184,4885917,7.133975295,425978,0.621974652,3003814,4.38589826,1456125,2.126102383,5003267,7.30531918,2551713,3.725781159,1319053,1.925962212,395909,0.578070611,663903,0.969371277,10836,55112,59749,56951,42512,472686,201358,684880,217.941053,262.1582055,206.8800295,258.777258
2001_ALABAMA,ALABAMA,South,2001,728532,4832946,7.075620533,466150,0.682461693,2879636,4.215898876,1487160,2.177259964,5086045,7.446167293,2656393,3.889062459,1374265,2.011977302,426481,0.624384738,540284,0.790996747,11841,54148,58929,56591,42909,469591,201610,683042,217.941053,262.1582055,206.8800295,258.777258
2002_ALABAMA,ALABAMA,South,2002,726367,5128559,7.499351482,508425,0.743455964,3010983,4.402878045,1609151,2.353017473,5147821,7.527517778,2720735,3.978456337,1414594,2.068522096,418949,0.612617658,496146,0.725500719,9715,55499,58690,57576,45521,467993,206159,683867,217.941053,262.1582055,206.8800295,258.777258
2003_ALABAMA,ALABAMA,South,2003,727900,5196054,7.701520279,567704,0.841443116,2966981,4.397618719,1661369,2.462458443,5298932,7.854004645,2817111,4.175483452,1521462,2.255090198,424662,0.629428217,432279,0.64071803,1852,56541,57323,59663,42005,466920,205907,674679,223.3446426,261.9390222,207.0838476,261.8708721
2004_ALABAMA,ALABAMA,South,2004,730418,5356113,7.956482406,625666,0.929424103,2971520,4.414179947,1758927,2.612878356,5450269,8.096350731,2875595,4.27168378,1580654,2.348054595,433522,0.643995033,449619,0.667907056,1994,56964,56182,59286,42672,462799,208383,673176,223.3446426,261.9390222,207.0838476,261.8708721
2005_ALABAMA,ALABAMA,South,2005,729342,5889966,8.646443561,665924,0.977573433,3247562,4.76740639,1976480,2.901463738,5904664,8.668020159,3053380,4.482348088,1744013,2.560203229,462605,0.679102057,511944,0.751531486,2623,58692,55919,59643,43452,466164,212414,681201,225.0712362,262.2111,207.752033,273.0457572
2006_ALABAMA,ALABAMA,South,2006,743265,6364028,9.28481828,730112,1.065199154,3540436,5.165330022,2093480,3.054289103,6591429,9.61658567,3326656,4.853435032,1983482,2.893807182,485936,0.708957826,666550,0.972465178,3872,58209,56720,59573,44471,466583,214968,685423,225.0712362,262.2111,207.752033,273.0457572
2007_ALABAMA,ALABAMA,South,2007,743273,7069040,10.29051732,689072,1.003093397,4070949,5.926147141,2309019,3.36127678,7196459,10.47600324,3653466,5.318410299,2174210,3.16503311,546077,0.794933234,687816,1.001265018,3592,55972,57795,58792,46200,466414,216941,686947,228.520018,266.0001099,216.3889539,265.6419817
2008_ALABAMA,ALABAMA,South,2008,742919,7726213,11.20613144,711391,1.031804462,4649053,6.743005789,2365769,3.431321188,7847387,11.38188271,3947003,5.724749551,2373070,3.441910588,564746,0.819109945,816799,1.184688663,6470,56205,58593,57809,46763,465403,217590,689463,228.520018,266.0001099,216.3889539,265.6419817
2009_ALABAMA,ALABAMA,South,2009,745668,7186390,10.38690795,728795,1.053369853,4161103,6.014284475,2296492,3.319253617,7815467,11.29614957,3836398,5.544969431,2331552,3.369927877,561019,0.81087343,924956,1.336892769,7774,57019,59512,57027,48164,464601,219495,691870,227.9626504,268.5241203,216.2733559,267.5774737
2010_ALABAMA,ALABAMA,South,2010,748889,7281058,10.4330042,1134111,1.625063943,3800128,5.445190984,2346819,3.36274927,7647571,10.95817948,3900492,5.589002231,2308399,3.307697378,555539,0.796030016,729720,1.045613402,8179,57665,59117,57992,49719,467768,221940,697887,227.9626504,268.5241203,216.2733559,267.5774737
2011_ALABAMA,ALABAMA,South,2011,746933,7376725,10.73729402,1077070,1.567744124,3965614,5.772204262,2334041,3.397345634,7411768,10.78830134,3844055,5.59526738,2295909,3.341842074,559140,0.813863954,564183,0.821204363,8282,57602,56491,57919,49510,461122,217615,687019,231.286019,269.0965158,220.2734133,257.3835093
